date,municipio_ibge,suicidios,obitos_totais,taxa_suicidio
2019-01-01,3510609,2,180,0.011111111111111112
2019-01-01,3510807,1,17,0.058823529411764705
2019-01-01,3511508,1,23,0.043478260869565216
2019-01-01,3512803,1,22,0.045454545454545456
2019-01-01,3513009,1,114,0.008771929824561403
2019-01-01,3513108,2,20,0.1
2019-01-01,3513801,1,167,0.005988023952095809
2019-01-01,3515004,1,114,0.008771929824561403
2019-01-01,3515152,2,12,0.16666666666666666
2019-01-01,3515186,1,28,0.03571428571428571
2019-01-01,3515707,1,77,0.012987012987012988
2019-01-01,3516200,2,208,0.009615384615384616
2019-01-01,3516309,1,75,0.013333333333333334
2019-01-01,3517406,1,36,0.027777777777777776
2019-01-01,3517505,1,15,0.06666666666666667
2019-01-01,3517901,1,4,0.25
2019-01-01,3518107,1,3,0.3333333333333333
2019-01-01,3518503,1,10,0.1
2019-01-01,3518701,1,175,0.005714285714285714
2019-01-01,3518800,5,636,0.007861635220125786
2019-01-01,3519071,2,93,0.021505376344086023
2019-01-01,3520509,2,114,0.017543859649122806
2019-01-01,3522109,1,76,0.013157894736842105
2019-01-01,3522505,1,87,0.011494252873563218
2019-01-01,3523909,1,79,0.012658227848101266
2019-01-01,3524006,1,22,0.045454545454545456
2019-01-01,3525003,1,36,0.027777777777777776
2019-01-01,3525300,2,95,0.021052631578947368
2019-01-01,3525904,2,224,0.008928571428571428
2019-01-01,3526902,1,199,0.005025125628140704
2019-01-01,3527108,1,51,0.0196078431372549
2019-01-01,3527207,1,58,0.017241379310344827
2019-01-01,3527405,1,14,0.07142857142857142
2019-01-01,3527702,1,5,0.2
2019-01-01,3527801,1,5,0.2
2019-01-01,3529005,5,168,0.02976190476190476
2019-01-01,3529401,1,182,0.005494505494505495
2019-01-01,3530300,1,44,0.022727272727272728
2019-01-01,3530607,3,243,0.012345679012345678
2019-01-01,3530805,2,66,0.030303030303030304
2019-01-01,3531308,2,35,0.05714285714285714
2019-01-01,3533502,1,26,0.038461538461538464
2019-01-01,3534401,4,380,0.010526315789473684
2019-01-01,3534609,2,26,0.07692307692307693
2019-01-01,3534708,1,82,0.012195121951219513
2019-01-01,3534906,1,7,0.14285714285714285
2019-01-01,3535309,1,20,0.05
2019-01-01,3538105,1,15,0.06666666666666667
2019-01-01,3538600,1,22,0.045454545454545456
2019-01-01,3538709,1,230,0.004347826086956522
2019-01-01,3540606,1,33,0.030303030303030304
2019-01-01,3541208,1,9,0.1111111111111111
2019-01-01,3541307,1,30,0.03333333333333333
2019-01-01,3541406,2,135,0.014814814814814815
2019-01-01,3541604,1,22,0.045454545454545456
2019-01-01,3542206,1,16,0.0625
2019-01-01,3542909,1,10,0.1
2019-01-01,3543303,1,67,0.014925373134328358
2019-01-01,3543402,9,390,0.023076923076923078
2019-01-01,3544004,1,14,0.07142857142857142
2019-01-01,3545209,2,68,0.029411764705882353
2019-01-01,3545803,1,108,0.009259259259259259
2019-01-01,3546207,1,5,0.2
2019-01-01,3546603,1,26,0.038461538461538464
2019-01-01,3547700,1,19,0.05263157894736842
2019-01-01,3548500,1,354,0.002824858757062147
2019-01-01,3548708,4,420,0.009523809523809525
2019-01-01,3548906,4,144,0.027777777777777776
2019-01-01,3549805,1,264,0.003787878787878788
2019-01-01,3549904,2,283,0.007067137809187279
2019-01-01,3550308,18,6303,0.0028557829604950024
2019-01-01,3550803,1,11,0.09090909090909091
2019-01-01,3551009,4,246,0.016260162601626018
2019-01-01,3551702,1,75,0.013333333333333334
2019-01-01,3552205,3,378,0.007936507936507936
2019-01-01,3552403,1,114,0.008771929824561403
2019-01-01,3556206,1,61,0.01639344262295082
2019-01-01,3557006,1,56,0.017857142857142856
2019-01-01,3557105,1,50,0.02
2019-01-01,4100509,1,12,0.08333333333333333
2019-01-01,4101408,2,81,0.024691358024691357
2019-01-01,4101507,1,53,0.018867924528301886
2019-01-01,4102109,1,16,0.0625
2019-01-01,4102208,1,1,1.0
2019-01-01,4102901,1,11,0.09090909090909091
2019-01-01,4103701,4,59,0.06779661016949153
2019-01-01,4104204,2,54,0.037037037037037035
2019-01-01,4104501,1,10,0.1
2019-01-01,4104659,1,5,0.2
2019-01-01,4104808,3,139,0.02158273381294964
2019-01-01,4105508,1,30,0.03333333333333333
2019-01-01,4105805,2,101,0.019801980198019802
2019-01-01,4106902,10,927,0.010787486515641856
2019-01-01,4107124,1,1,1.0
2019-01-01,4107652,1,45,0.022222222222222223
2019-01-01,4108601,1,25,0.04
2019-01-01,4109401,1,104,0.009615384615384616
2019-01-01,4110904,1,3,0.3333333333333333
2019-01-01,4111001,1,5,0.2
2019-01-01,4111506,2,23,0.08695652173913043
2019-01-01,4113700,2,256,0.0078125
2019-01-01,4114609,1,26,0.038461538461538464
2019-01-01,4115200,1,196,0.00510204081632653
2019-01-01,4115457,1,3,0.3333333333333333
2019-01-01,4117453,1,5,0.2
2019-01-01,4117602,1,22,0.045454545454545456
2019-01-01,4118204,3,91,0.03296703296703297
2019-01-01,4118402,1,64,0.015625
2019-01-01,4118501,1,40,0.025
2019-01-01,4119152,3,58,0.05172413793103448
2019-01-01,4119509,1,47,0.02127659574468085
2019-01-01,4119905,1,176,0.005681818181818182
2019-01-01,4120150,1,2,0.5
2019-01-01,4120903,1,12,0.08333333333333333
2019-01-01,4121406,1,9,0.1111111111111111
2019-01-01,4122305,2,13,0.15384615384615385
2019-01-01,4122909,1,5,0.2
2019-01-01,4123402,1,9,0.1111111111111111
2019-01-01,4124053,1,16,0.0625
2019-01-01,4125506,1,121,0.008264462809917356
2019-01-01,4126256,3,44,0.06818181818181818
2019-01-01,4127700,1,66,0.015151515151515152
2019-01-01,4127809,1,3,0.3333333333333333
2019-01-01,4200101,1,12,0.08333333333333333
2019-01-01,4201406,1,21,0.047619047619047616
