"Munic�pio";"Popula��o_residente"
"210580 LAGO DO JUNCO";10840
"210590 LAGO VERDE";16257
"210592 LAGOA DO MATO";11250
"210594 LAGO DOS RODRIGUES";8873
"210596 LAGOA GRANDE DO MARANHAO";11394
"210598 LAJEADO NOVO";7550
"210600 LIMA CAMPOS";11893
"210610 LORETO";12157
"210620 LUIS DOMINGUES";6951
"210630 MAGALHAES DE ALMEIDA";19826
"210632 MARACACUME";21395
"210635 MARAJA DO SENA";7792
"210637 MARANHAOZINHO";16265
"210640 MATA ROMA";16829
"210650 MATINHA";23370
"210660 MATOES";33782
"210663 MATOES DO NORTE";16745
"210667 MILAGRES DO MARANHAO";8464
"210670 MIRADOR";21015
"210675 MIRANDA DO NORTE";28381
"210680 MIRINZAL";14962
"210690 MONCAO";33434
"210700 MONTES ALTOS";9160
"210710 MORROS";19433
"210720 NINA RODRIGUES";14454
"210725 NOVA COLINAS";5384
"210730 NOVA IORQUE";4683
"210735 NOVA OLINDA DO MARANHAO";20928
"210740 OLHO D'AGUA DAS CUNHAS";19505
"210745 OLINDA NOVA DO MARANHAO";14701
"210750 PACO DO LUMIAR";122197
"210760 PALMEIRANDIA";19722
"210770 PARAIBANO";21386
"210780 PARNARAMA";34907
"210790 PASSAGEM FRANCA";19019
"210800 PASTOS BONS";19472
"210805 PAULINO NEVES";16035
"210810 PAULO RAMOS";21040
"210820 PEDREIRAS";39229
"210825 PEDRO DO ROSARIO";25144
"210830 PENALVA";38470
"210840 PERI MIRIM";14318
"210845 PERITORO";23196
"210850 PINDARE-MIRIM";32941
"210860 PINHEIRO";83387
"210870 PIO XII";21485
"210880 PIRAPEMAS";18625
"210890 POCAO DE PEDRAS";17873
"210900 PORTO FRANCO";23885
"210905 PORTO RICO DO MARANHAO";5975
"210910 PRESIDENTE DUTRA";47804
"210920 PRESIDENTE JUSCELINO";12734
"210923 PRESIDENTE MEDICI";7015
"210927 PRESIDENTE SARNEY";18918
"210930 PRESIDENTE VARGAS";11193
"210940 PRIMEIRA CRUZ";15315
"210945 RAPOSA";30761
"210950 RIACHAO";20380
"210955 RIBAMAR FIQUENE";7791
"210960 ROSARIO";42740
"210970 SAMBAIBA";5671
"210975 SANTA FILOMENA DO MARANHAO";7773
"210980 SANTA HELENA";42130
"210990 SANTA INES";89044
"211000 SANTA LUZIA";72667
"211003 SANTA LUZIA DO PARUA";25254
"211010 SANTA QUITERIA DO MARANHAO";25642
"211020 SANTA RITA";37855
"211023 SANTANA DO MARANHAO";13386
"211027 SANTO AMARO DO MARANHAO";15846
"211030 SANTO ANTONIO DOS LOPES";14528
"211040 SAO BENEDITO DO RIO PRETO";18663
"211050 SAO BENTO";45211
"211060 SAO BERNARDO";28507
"211065 SAO DOMINGOS DO AZEITAO";7392
"211070 SAO DOMINGOS DO MARANHAO";34376
"211080 SAO FELIX DE BALSAS";4585
"211085 SAO FRANCISCO DO BREJAO";11798
"211090 SAO FRANCISCO DO MARANHAO";12210
"211100 SAO JOAO BATISTA";20665
"211102 SAO JOAO DO CARU";15808
"211105 SAO JOAO DO PARAISO";11177
"211107 SAO JOAO DO SOTER";18543
"211110 SAO JOAO DOS PATOS";25929
"211120 SAO JOSE DE RIBAMAR";177687
"211125 SAO JOSE DOS BASILIOS";7641
"211130 SAO LUIS";1101884
"211140 SAO LUIS GONZAGA DO MARANHAO";18856
"211150 SAO MATEUS DO MARANHAO";41404
"211153 SAO PEDRO DA AGUA BRANCA";12690
"211157 SAO PEDRO DOS CRENTES";4668
"211160 SAO RAIMUNDO DAS MANGABEIRAS";18868
"211163 SAO RAIMUNDO DO DOCA BEZERRA";5237
"211167 SAO ROBERTO";6719
"211170 SAO VICENTE FERRER";22247
"211172 SATUBINHA";13914
"211174 SENADOR ALEXANDRE COSTA";11141
"211176 SENADOR LA ROCQUE";14121
"211178 SERRANO DO MARANHAO";10253
"211180 SITIO NOVO";18081
"211190 SUCUPIRA DO NORTE";10636
"211195 SUCUPIRA DO RIACHAO";5660
"211200 TASSO FRAGOSO";8521
"211210 TIMBIRAS";29124
"211220 TIMON";169107
"211223 TRIZIDELA DO VALE";21998
"211227 TUFILANDIA";5840
"211230 TUNTUM";41832
"211240 TURIACU";35604
"211245 TURILANDIA";25619
"211250 TUTOIA";58860
"211260 URBANO SANTOS";33122
"211270 VARGEM GRANDE";56510
"211280 VIANA";52441
"211285 VILA NOVA DOS MARTIRIOS";13392
"211290 VITORIA DO MEARIM";32764
"211300 VITORINO FREIRE";31523
"211400 ZE DOCA";51714
"220005 ACAUA";7084
"220010 AGRICOLANDIA";5139
"220020 AGUA BRANCA";17411
"220025 ALAGOINHA DO PIAUI";7651
"220027 ALEGRETE DO PIAUI";4915
"220030 ALTO LONGA";14304
"220040 ALTOS";40524
"220045 ALVORADA DO GURGUEIA";5419
"220050 AMARANTE";17598
"220060 ANGICAL DO PIAUI";6788
"220070 ANISIO DE ABREU";9880
